n,method,time,solution_sum,target
5,Exhaustive Search,2.640002639964223e-05,97,97
5,MILP,0.0653178000357002,97,97
5,Local Search,0.0012215000460855663,95,97
5,Simulated Annealing,4.8499961849302053e-05,97,97
10,Exhaustive Search,0.0009558000019751489,232,232
10,MILP,0.010636899969540536,232,232
10,Local Search,0.0014469000161625445,228,232
10,Simulated Annealing,0.006776000023819506,233,232
15,Exhaustive Search,0.028145000047516078,293,293
15,MILP,0.06639519997406751,293,293
15,Local Search,0.0011539999977685511,291,293
15,Simulated Annealing,0.00030779995722696185,293,293
20,Exhaustive Search,1.0081886000116356,420,420
20,MILP,0.02275020000524819,420,420
20,Local Search,0.0012247000122442842,418,420
20,Simulated Annealing,0.0002592999953776598,420,420
