n,method,time,solution_sum,target,success_probability
5,Exhaustive Search,2.640002639964223e-05,97,97,1.0
5,MILP,0.0653178000357002,97,97,1.0
5,Local Search,0.0012215000460855,95,97,0.0
5,Simulated Annealing,4.849996184930205e-05,97,97,1.0
10,Exhaustive Search,0.0009558000019751,232,232,1.0
10,MILP,0.0106368999695405,232,232,1.0
10,Local Search,0.0014469000161625,228,232,0.0
10,Simulated Annealing,0.0067760000238195,233,232,0.0
15,Exhaustive Search,0.028145000047516,293,293,1.0
15,MILP,0.0663951999740675,293,293,1.0
15,Local Search,0.0011539999977685,291,293,0.0
15,Simulated Annealing,0.0003077999572269,293,293,1.0
20,Exhaustive Search,1.0081886000116356,420,420,1.0
20,MILP,0.0227502000052481,420,420,1.0
20,Local Search,0.0012247000122442,418,420,0.0
20,Simulated Annealing,0.0002592999953776,420,420,1.0
5,QAOA,0.0211982000037096,,97,0.004
10,QAOA,0.0126821000012569,,232,0.002
15,QAOA,0.0259407000266946,,293,0.001
20,QAOA,0.0908180000260472,,420,0.002
