gamma,beta,success_probability
0.1,0.1,0.078
0.1,0.3,0.059
0.1,0.5,0.04
0.1,0.7,0.058
0.1,0.9,0.107
0.1,1.1,0.1185
0.1,1.3,0.126
0.1,1.5,0.0935
0.3,0.1,0.0865
0.3,0.3,0.0485
0.3,0.5,0.0735
0.3,0.7,0.1455
0.3,0.9,0.16
0.3,1.1,0.1275
0.3,1.3,0.087
0.3,1.5,0.0795
0.5,0.1,0.1165
0.5,0.3,0.1035
0.5,0.5,0.0675
0.5,0.7,0.028
0.5,0.9,0.031
0.5,1.1,0.054
0.5,1.3,0.0855
0.5,1.5,0.098
0.7,0.1,0.0875
0.7,0.3,0.05
0.7,0.5,0.043
0.7,0.7,0.1165
0.7,0.9,0.2245
0.7,1.1,0.2355
0.7,1.3,0.149
0.7,1.5,0.0985
0.9,0.1,0.0805
0.9,0.3,0.0705
0.9,0.5,0.0645
0.9,0.7,0.0235
0.9,0.9,0.0205
0.9,1.1,0.0735
0.9,1.3,0.1115
0.9,1.5,0.1075
1.1,0.1,0.102
1.1,0.3,0.151
1.1,0.5,0.2
1.1,0.7,0.208
1.1,0.9,0.151
1.1,1.1,0.086
1.1,1.3,0.0585
1.1,1.5,0.0775
1.3,0.1,0.0995
1.3,0.3,0.0915
1.3,0.5,0.064
1.3,0.7,0.0565
1.3,0.9,0.0915
1.3,1.1,0.0815
1.3,1.3,0.0435
1.3,1.5,0.0625
1.5,0.1,0.1065
1.5,0.3,0.075
1.5,0.5,0.06
1.5,0.7,0.072
1.5,0.9,0.111
1.5,1.1,0.19
1.5,1.3,0.187
1.5,1.5,0.1385
